NAME,LINE,L-5,L-10,L-15
Victor Wembanyama,27.5,1.0,0.8,0.67
Jalen Johnson,34.5,1.0,0.7,0.6
Saddiq Bey,22.5,1.0,0.9,0.67
Jaylen Brown,36.5,0.8,0.7,0.6
Trey Murphy III,27.5,0.8,0.6,0.67
Chet Holmgren,24.5,0.8,0.6,0.67
Josh Hart,22.5,0.8,0.7,0.6
Nickeil Alexander-Walker,24.5,0.8,0.7,0.6
Derrick White,23.5,0.8,0.6,0.53
Maxime Raynaud,18.5,0.8,0.4,0.27
Stephon Castle,20.5,0.8,0.7,0.73
Ivica Zubac,25.5,0.8,0.7,0.73
Kevin Porter Jr.,26.5,0.8,0.4,0.27
Naz Reid,20.5,0.6,0.5,0.53
Julius Randle,26.5,0.6,0.5,0.53
Stephen Curry,28.5,0.6,0.6,0.6
Kawhi Leonard,27.5,0.6,0.6,0.53
Jalen Brunson,31.5,0.6,0.6,0.53
Kevin Durant,30.5,0.6,0.5,0.4
James Harden,27.5,0.6,0.7,0.8
Anthony Edwards,33.5,0.6,0.7,0.67
Jalen Suggs,21.5,0.6,0.5,0.4
Neemias Queta,19.5,0.6,0.6,0.47
Shai Gilgeous-Alexander,35.5,0.6,0.6,0.53
De'Aaron Fox,24.5,0.6,0.7,0.73
Toumani Camara,19.5,0.6,0.5,0.4
Amen Thompson,23.5,0.6,0.6,0.47
Jaden McDaniels,18.5,0.6,0.4,0.53
Desmond Bane,25.5,0.4,0.4,0.47
Karl-Anthony Towns,33.5,0.4,0.3,0.47
Jalen Williams,24.5,0.4,0.2,0.13
Deni Avdija,35.5,0.4,0.4,0.27
Shaedon Sharpe,27.5,0.4,0.5,0.53
Onyeka Okongwu,23.5,0.4,0.4,0.47
Jalen Duren,29.5,0.4,0.4,0.53
Russell Westbrook,24.5,0.4,0.4,0.27
Jamal Murray,28.5,0.4,0.4,0.4
Derik Queen,24.5,0.4,0.4,0.4
Jerami Grant,26.5,0.4,0.4,0.33
Cade Cunningham,32.5,0.4,0.6,0.67
Paolo Banchero,28.5,0.2,0.5,0.6
Keegan Murray,23.5,0.2,0.4,0.27
Ryan Rollins,23.5,0.2,0.4,0.47
DeMar DeRozan,25.5,0.0,0.1,0.13
