NAME,LINE,L-5,L-10,L-15
Saddiq Bey,19.5,1.0,0.7,0.6
Naji Marshall,13.0,1.0,0.8,0.73
Cooper Flagg,19.5,0.8,0.6,0.53
Jalen Johnson,33.5,0.8,0.6,0.47
Norman Powell,27.5,0.8,0.7,0.6
Donte DiVincenzo,17.5,0.8,0.6,0.53
Donovan Mitchell,35.5,0.8,0.7,0.6
Nickeil Alexander-Walker,24.5,0.8,0.7,0.53
Jaylon Tyson,14.5,0.8,0.7,0.67
Anthony Edwards,34.5,0.8,0.6,0.53
Jose Alvarado,11.5,0.8,0.5,0.53
Noah Clowney,17.5,0.8,0.7,0.67
Kawhi Leonard,26.5,0.8,0.6,0.53
Naz Reid,16.5,0.6,0.6,0.4
James Harden,32.5,0.6,0.7,0.67
Cade Cunningham,35.5,0.6,0.6,0.73
Jaden McDaniels,15.5,0.6,0.6,0.73
Jeremiah Fears,20.5,0.6,0.5,0.47
John Collins,13.5,0.6,0.4,0.4
Rudy Gobert,11.5,0.6,0.7,0.67
Nicolas Batum,5.5,0.6,0.7,0.73
Tobias Harris,16.5,0.6,0.5,0.4
Kevin Porter Jr.,26.5,0.6,0.3,0.2
Duncan Robinson,13.0,0.6,0.8,0.73
Darius Garland,22.5,0.6,0.4,0.27
Russell Westbrook,20.5,0.6,0.6,0.6
Evan Mobley,22.5,0.6,0.4,0.47
Keegan Murray,18.5,0.6,0.4,0.27
Malik Monk,18.5,0.6,0.3,0.27
Kevin Durant,31.5,0.6,0.6,0.47
Dyson Daniels,18.5,0.6,0.4,0.4
Amen Thompson,25.5,0.6,0.4,0.47
Jordan Hawkins,7.5,0.6,0.4,0.33
Ryan Nembhard,14.5,0.6,0.3,0.2
Max Christie,11.5,0.6,0.6,0.67
Ivica Zubac,17.5,0.6,0.5,0.6
DeMar DeRozan,21.5,0.4,0.5,0.47
Bam Adebayo,23.5,0.4,0.2,0.33
Andrew Wiggins,20.0,0.4,0.4,0.4
Kris Dunn,10.0,0.4,0.6,0.53
Reed Sheppard,15.5,0.4,0.5,0.53
Trey Murphy III,25.0,0.4,0.4,0.4
Julius Randle,25.5,0.4,0.4,0.53
Marvin Bagley III,15.5,0.4,0.2,0.2
Caris LeVert,11.5,0.4,0.6,0.53
Ausar Thompson,13.0,0.4,0.4,0.53
Derik Queen,18.5,0.4,0.5,0.47
Bobby Portis,13.5,0.4,0.5,0.47
Danny Wolf,13.5,0.4,0.2,0.13
Dean Wade,6.5,0.4,0.5,0.47
De'Andre Hunter,16.5,0.4,0.5,0.6
Mouhamed Gueye,7.5,0.4,0.4,0.4
Zaccharie Risacher,13.5,0.4,0.4,0.47
Terance Mann,11.5,0.2,0.5,0.53
Tyrese Martin,10.5,0.2,0.4,0.33
Onyeka Okongwu,22.0,0.2,0.4,0.4
Anthony Davis,23.0,0.2,0.4,0.27
Kyshawn George,19.5,0.2,0.5,0.33
Luke Kennard,9.5,0.2,0.4,0.47
Kel'el Ware,13.0,0.2,0.5,0.53
Davion Mitchell,18.0,0.2,0.4,0.53
Jaden Ivey,10.5,0.2,0.3,0.2
Zach LaVine,22.5,0.2,0.3,0.33
Ryan Rollins,25.5,0.2,0.5,0.4
Jalen Duren,20.5,0.2,0.5,0.6
Kyle Kuzma,16.5,0.2,0.2,0.27
Myles Turner,13.5,0.2,0.5,0.6
Josh Okogie,8.5,0.0,0.2,0.27
